TGL_LAHIR,JENIS_KELAMIN,TANGGAL_DAFTAR,KECAMATAN,PENDIDIKAN,JURUSAN,TAHUN_LULUS,Keterampilan,UPAH_DIINGINKAN,JABATAN_DIINGINKAN,WILAYAH_DIINGINKAN,WILAYAH_DIINGINKAN_DETAIL,UMUR_SAAT_DAFTAR,original_index,JABATAN_DIINGINKAN_Normalized,wilayah_diinginkan_detail_normalized
1995-07-17,P,2022-01-05,CIHIDEUNG,SMK,PEMASARAN,2013.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,JAWABARAT,26,380,produksi/operasional,jawa
1989-08-15,P,2022-01-05,KAWALU,S1,PGSD,2020.0,MENGAJAR,Rp 5.000.001 - Rp 10.000.000,GURU KELAS,DI DALAM NEGERI,KOTA TASIKMALAYA,32,381,pendidikan,lokasi tidak spesifik
1994-07-05,P,2022-01-05,MANGKUBUMI,SMA / LAINNYA,AKUNTANSI,2013.0,,Rp 1.000.001 - Rp 2.500.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYA,27,382,pekerja umum,tasikmalaya
1998-10-23,L,2022-01-05,CIBEUREUM,D.III,OPERASI BANDAR UDARA ,2021.0,SEPAK BOLA ,Rp 1.000.001 - Rp 2.500.000,OPERASIONAL,DI DALAM NEGERI,TASIKMALAYA ,23,383,produksi/operasional,tasikmalaya
2003-09-10,L,2022-01-05,TAMANSARI,SMA / LAINNYA,IPS,2021.0,MAIN BOLA,Rp 2.500.001 - Rp 5.000.000,OPRASIONAL PRODUKSI,DI DALAM NEGERI,JAWA BARAT,18,384,produksi/operasional,jawa barat
1999-03-18,P,2022-01-05,INDIHIANG,SMK,AKUNTANSI,2017.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,AKUNTAN,DI DALAM NEGERI,MAJALENGKA,22,385,keuangan/akuntansi/perbankan,majalengka
1986-06-29,P,2022-01-05,CIBEUREUM,SMK,MANAJEMEN BISNIS,2005.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,BANDUNG,35,386,produksi/operasional,bandung
2002-06-29,P,2022-01-12,TAWANG,SMA / LAINNYA,PEMASARAN,2021.0,PUBLIK SPEAKING,Rp 1.000.001 - Rp 2.500.000,PEMASARAN,DI DALAM NEGERI,TASIKMALAYA,19,387,sales/marketing,tasikmalaya
2001-08-14,P,2022-01-05,MANGKUBUMI,SMA / LAINNYA,ILMU PENGETAHUAN ALAM,2019.0,BERNYANYIMENGGAMBARPUBLIC SPEAKING,Rp 1.000.001 - Rp 2.500.000,OPERATOR PRODUKSIKARYAWAN,DI DALAM NEGERI,JAWA BARAT,20,388,produksi/operasional,jawa barat
1998-12-11,P,2022-01-05,CIBEUREUM,S1,TEKNOLOGI DAN MANAJEMEN PERIKANAN BUDIDAYA,2021.0,PUBLIK SPEAKING,Rp 2.500.001 - Rp 5.000.000,PEGAWAI,DI DALAM NEGERI,JAWA BARAT,23,389,pekerja umum,jawa barat
2003-01-20,P,2022-01-05,CIBEUREUM,SMA / LAINNYA,IPS,2021.0,MEMBUAT CERPEN,Rp 2.500.001 - Rp 5.000.000,BAGIAN PRODUKSI  KASIR,DI DALAM NEGERI,KOTA BEKASI,18,390,bagian produksi  kasir,bekasi
1997-03-30,P,2022-01-05,PURBARATU,S1,AKUNTANSI,2020.0,KOMPUTER,Rp 2.500.001 - Rp 5.000.000,AKUNTANSI,DI DALAM NEGERI,CIKAMPEK,24,391,keuangan/akuntansi/perbankan,cikampek
2003-07-28,P,2022-01-05,BUNGURSARI,SMK,OTOMATISASI DAN TATA KELOLA PERKANTORAN ,2021.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,JAKARTA,18,392,pekerja umum,jakarta
2003-01-28,P,2022-01-05,BUNGURSARI,SMA / LAINNYA,IPA,2021.0,,Rp 1.000.001 - Rp 2.500.000,PT,DI DALAM NEGERI,BEKASI,18,393,lain-lain,bekasi
2000-07-30,P,2022-01-06,TAWANG,D.III,SISTEM INFORMASI,2020.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,STAFF,DI DALAM NEGERI,BEKASI,21,394,staff,bekasi
1999-05-24,P,2022-01-06,CIHIDEUNG,D.III,SISTEM INFORMASI,2021.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,STAFF,DI DALAM NEGERI,BEKASI,22,395,staff,bekasi
2003-04-18,P,2022-01-06,MANGKUBUMI,SMA / LAINNYA,IPS,2021.0,MS OFFICE,Rp 1.000.001 - Rp 2.500.000,APA SAJA,DI DALAM NEGERI,JAWA BARAT,18,396,lain-lain,jawa barat
1997-11-24,P,2022-01-13,PURBARATU,SMK,FARMASI,2015.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,ASISTEN APOTEKER,DI DALAM NEGERI,JAKARTA ,24,397,tenaga kesehatan (umum),jakarta
1993-04-04,P,2022-01-06,KAWALU,SMA / LAINNYA,IPA,2011.0,MEMASAK,Rp 5.000.001 - Rp 10.000.000,OPERATOR,DI DALAM NEGERI,SERANG BANTEN,28,398,produksi/operasional,banten
1993-04-04,P,2022-01-06,KAWALU,SMA / LAINNYA,IPA,2011.0,MEMASAK,Rp 5.000.001 - Rp 10.000.000,OPERATOR,DI DALAM NEGERI,SERANG BANTEN,28,398,produksi/operasional,serang
2003-07-02,L,2022-01-06,TAMANSARI,SMA / LAINNYA,IPS,2021.0,MEMPUNYAI BAKAT DI BIDANG OLAHRAGA,Rp 1.000.001 - Rp 2.500.000,APA SAJA,DI DALAM NEGERI,TASIKMALAYA DAN BANDUNG,18,399,lain-lain,bandung
2003-07-02,L,2022-01-06,TAMANSARI,SMA / LAINNYA,IPS,2021.0,MEMPUNYAI BAKAT DI BIDANG OLAHRAGA,Rp 1.000.001 - Rp 2.500.000,APA SAJA,DI DALAM NEGERI,TASIKMALAYA DAN BANDUNG,18,399,lain-lain,tasikmalaya
2000-08-22,P,2022-01-06,KAWALU,SMA / LAINNYA,IPA,2019.0,OLAHRAGA,0 - Rp 1.000.000,STAFF,DI DALAM NEGERI,TASIKMALAYA,21,400,staff,tasikmalaya
1996-03-11,P,2022-01-06,INDIHIANG,D.III,SISTEM INFORMASI,2018.0,MELUKIS,0 - Rp 1.000.000,ADMIN,DI DALAM NEGERI,TASIKMALAYA,25,401,administrasi/staf umum,tasikmalaya
2002-09-20,L,2022-01-06,MANGKUBUMI,SMK,TEKNIK PEMESINAN,2021.0,DAPAT BEKERJA SAMA TIM PERCAYA DIRI,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,KARAWANG CIKARANG BEKASI,19,402,produksi/operasional,bekasi
2002-09-20,L,2022-01-06,MANGKUBUMI,SMK,TEKNIK PEMESINAN,2021.0,DAPAT BEKERJA SAMA TIM PERCAYA DIRI,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,KARAWANG CIKARANG BEKASI,19,402,produksi/operasional,cikarang
2002-09-20,L,2022-01-06,MANGKUBUMI,SMK,TEKNIK PEMESINAN,2021.0,DAPAT BEKERJA SAMA TIM PERCAYA DIRI,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,KARAWANG CIKARANG BEKASI,19,402,produksi/operasional,karawang
1997-06-24,L,2022-01-06,BUNGURSARI,SMA / LAINNYA,IPA,2015.0,LEADERSHIP,Rp 2.500.001 - Rp 5.000.000,SUPERVISOR,DI DALAM NEGERI,BANDUNG TASIKMALAYA SUKABUMI BEKASI CIKARANG KARAWANG JAKARTA TANGERANG,24,403,supervisor,bandung
1997-06-24,L,2022-01-06,BUNGURSARI,SMA / LAINNYA,IPA,2015.0,LEADERSHIP,Rp 2.500.001 - Rp 5.000.000,SUPERVISOR,DI DALAM NEGERI,BANDUNG TASIKMALAYA SUKABUMI BEKASI CIKARANG KARAWANG JAKARTA TANGERANG,24,403,supervisor,bekasi
1997-06-24,L,2022-01-06,BUNGURSARI,SMA / LAINNYA,IPA,2015.0,LEADERSHIP,Rp 2.500.001 - Rp 5.000.000,SUPERVISOR,DI DALAM NEGERI,BANDUNG TASIKMALAYA SUKABUMI BEKASI CIKARANG KARAWANG JAKARTA TANGERANG,24,403,supervisor,cikarang
1997-06-24,L,2022-01-06,BUNGURSARI,SMA / LAINNYA,IPA,2015.0,LEADERSHIP,Rp 2.500.001 - Rp 5.000.000,SUPERVISOR,DI DALAM NEGERI,BANDUNG TASIKMALAYA SUKABUMI BEKASI CIKARANG KARAWANG JAKARTA TANGERANG,24,403,supervisor,jakarta
1997-06-24,L,2022-01-06,BUNGURSARI,SMA / LAINNYA,IPA,2015.0,LEADERSHIP,Rp 2.500.001 - Rp 5.000.000,SUPERVISOR,DI DALAM NEGERI,BANDUNG TASIKMALAYA SUKABUMI BEKASI CIKARANG KARAWANG JAKARTA TANGERANG,24,403,supervisor,karawang
1997-06-24,L,2022-01-06,BUNGURSARI,SMA / LAINNYA,IPA,2015.0,LEADERSHIP,Rp 2.500.001 - Rp 5.000.000,SUPERVISOR,DI DALAM NEGERI,BANDUNG TASIKMALAYA SUKABUMI BEKASI CIKARANG KARAWANG JAKARTA TANGERANG,24,403,supervisor,sukabumi
1997-06-24,L,2022-01-06,BUNGURSARI,SMA / LAINNYA,IPA,2015.0,LEADERSHIP,Rp 2.500.001 - Rp 5.000.000,SUPERVISOR,DI DALAM NEGERI,BANDUNG TASIKMALAYA SUKABUMI BEKASI CIKARANG KARAWANG JAKARTA TANGERANG,24,403,supervisor,tangerang
1997-06-24,L,2022-01-06,BUNGURSARI,SMA / LAINNYA,IPA,2015.0,LEADERSHIP,Rp 2.500.001 - Rp 5.000.000,SUPERVISOR,DI DALAM NEGERI,BANDUNG TASIKMALAYA SUKABUMI BEKASI CIKARANG KARAWANG JAKARTA TANGERANG,24,403,supervisor,tasikmalaya
2001-02-15,L,2022-01-06,PURBARATU,SMK,TEKNIK OTOMOTIF,2019.0,MESIN,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,BANDUNG,20,404,produksi/operasional,bandung
2003-10-23,P,2022-01-06,CIBEUREUM,SMK,TATA BOGA,2021.0,TATA BOGA,Rp 2.500.001 - Rp 5.000.000,KITCHEN CREW,DI DALAM NEGERI,TASIKMALAYA,18,405,it/software,tasikmalaya
2003-03-12,L,2022-01-06,TAWANG,SMK,TEKNIK OTOMOTIF,2021.0,FUTSAL,Rp 1.000.001 - Rp 2.500.000,DEALER HONDA ,DI DALAM NEGERI,DI LUAR KOTA ,18,406,sales/marketing,lokasi tidak spesifik
1998-07-14,L,2022-01-07,CIBEUREUM,SMK,TKJ,2017.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,OPERATOR,DI DALAM NEGERI,LUAR KOTA,23,407,produksi/operasional,lokasi tidak spesifik
2002-04-18,L,2022-01-07,CIBEUREUM,SMA / LAINNYA,IPS,2021.0,OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,SUPERPAISER,DI DALAM NEGERI,TASIKMALAYA,19,408,supervisor,tasikmalaya
2002-03-29,L,2022-01-07,CIPEDES,SMK,TEKNIK OTOMOTIF,2021.0,OLAHRAGA FUTSAL,Rp 2.500.001 - Rp 5.000.000,MEKANIK,DI DALAM NEGERI,TASIKMALAYA,19,409,teknisi/maintenance,tasikmalaya
2002-01-09,L,2022-01-07,MANGKUBUMI,SMA / LAINNYA,IPS,2020.0,,Rp 2.500.001 - Rp 5.000.000,ADMINISTRATOR,DI DALAM NEGERI,TASIKMALAYA,19,410,administrasi/staf umum,tasikmalaya
2003-02-02,P,2022-01-11,KAWALU,SMA / LAINNYA,IPA,2021.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,MANAJEMEN,DI DALAM NEGERI,TANGERANG,18,411,manajemen/direksi,tangerang
1995-12-08,L,2022-01-10,KAWALU,S1,TEKNIK INFORMATIKA,2018.0,PUBLIC SPEAKING TERBIASA DENGAN MICROSOFT OFFICE ANALISIS LAPANGAN ,Rp 2.500.001 - Rp 5.000.000,FASILITATOR LAPANGAN ACCOUNT EXECUTIVE ADMIN,DI DALAM NEGERI,TASIKMALAYA BANDUNG CIAMIS GARUT SUMEDANG PANGANDARAN,26,412,administrasi/staf umum,bandung
1995-12-08,L,2022-01-10,KAWALU,S1,TEKNIK INFORMATIKA,2018.0,PUBLIC SPEAKING TERBIASA DENGAN MICROSOFT OFFICE ANALISIS LAPANGAN ,Rp 2.500.001 - Rp 5.000.000,FASILITATOR LAPANGAN ACCOUNT EXECUTIVE ADMIN,DI DALAM NEGERI,TASIKMALAYA BANDUNG CIAMIS GARUT SUMEDANG PANGANDARAN,26,412,administrasi/staf umum,ciamis
1995-12-08,L,2022-01-10,KAWALU,S1,TEKNIK INFORMATIKA,2018.0,PUBLIC SPEAKING TERBIASA DENGAN MICROSOFT OFFICE ANALISIS LAPANGAN ,Rp 2.500.001 - Rp 5.000.000,FASILITATOR LAPANGAN ACCOUNT EXECUTIVE ADMIN,DI DALAM NEGERI,TASIKMALAYA BANDUNG CIAMIS GARUT SUMEDANG PANGANDARAN,26,412,administrasi/staf umum,garut
1995-12-08,L,2022-01-10,KAWALU,S1,TEKNIK INFORMATIKA,2018.0,PUBLIC SPEAKING TERBIASA DENGAN MICROSOFT OFFICE ANALISIS LAPANGAN ,Rp 2.500.001 - Rp 5.000.000,FASILITATOR LAPANGAN ACCOUNT EXECUTIVE ADMIN,DI DALAM NEGERI,TASIKMALAYA BANDUNG CIAMIS GARUT SUMEDANG PANGANDARAN,26,412,administrasi/staf umum,pangandaran
1995-12-08,L,2022-01-10,KAWALU,S1,TEKNIK INFORMATIKA,2018.0,PUBLIC SPEAKING TERBIASA DENGAN MICROSOFT OFFICE ANALISIS LAPANGAN ,Rp 2.500.001 - Rp 5.000.000,FASILITATOR LAPANGAN ACCOUNT EXECUTIVE ADMIN,DI DALAM NEGERI,TASIKMALAYA BANDUNG CIAMIS GARUT SUMEDANG PANGANDARAN,26,412,administrasi/staf umum,tasikmalaya
2002-10-23,P,2022-01-10,TAMANSARI,SMK,TEKNIK KOMPUTER DAN JARINGAN,2021.0,,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,CIKARANG TANGERANG,19,413,produksi/operasional,cikarang
2002-10-23,P,2022-01-10,TAMANSARI,SMK,TEKNIK KOMPUTER DAN JARINGAN,2021.0,,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,CIKARANG TANGERANG,19,413,produksi/operasional,tangerang
2002-03-10,L,2022-01-10,CIHIDEUNG,SMK,MEKATRONIKA,2021.0,OLAHRAGAPRODUKSI,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGCIKARANGKARAWANGBANTEN,19,414,pekerja umum,bandung
2002-03-10,L,2022-01-10,CIHIDEUNG,SMK,MEKATRONIKA,2021.0,OLAHRAGAPRODUKSI,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGCIKARANGKARAWANGBANTEN,19,414,pekerja umum,banten
2002-03-10,L,2022-01-10,CIHIDEUNG,SMK,MEKATRONIKA,2021.0,OLAHRAGAPRODUKSI,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGCIKARANGKARAWANGBANTEN,19,414,pekerja umum,cikarang
2002-03-10,L,2022-01-10,CIHIDEUNG,SMK,MEKATRONIKA,2021.0,OLAHRAGAPRODUKSI,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGCIKARANGKARAWANGBANTEN,19,414,pekerja umum,karawang
2002-03-10,L,2022-01-10,CIHIDEUNG,SMK,MEKATRONIKA,2021.0,OLAHRAGAPRODUKSI,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGCIKARANGKARAWANGBANTEN,19,414,pekerja umum,tasikmalaya
2003-02-20,P,2022-01-10,CIBEUREUM,SMA / LAINNYA,MIPA,2021.0,OLAHRAGA,Rp 1.000.001 - Rp 2.500.000,PRODUKSI,DI DALAM NEGERI,GARUT,18,415,produksi/operasional,garut
2002-10-30,L,2022-01-11,CIHIDEUNG,SMK,TEKNIK PEMESINAN,2021.0,OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,LAIN LAIN,DI DALAM NEGERI,TASIKMALAYABANDUNG,19,416,lain lain,bandung
2002-10-30,L,2022-01-11,CIHIDEUNG,SMK,TEKNIK PEMESINAN,2021.0,OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,LAIN LAIN,DI DALAM NEGERI,TASIKMALAYABANDUNG,19,416,lain lain,tasikmalaya
1997-06-03,L,2022-01-10,TAMANSARI,SMK,DESAIN KOMUNIKASI VISUAL,2015.0,,0 - Rp 1.000.000,OPERATOR,DI DALAM NEGERI,CIKARANG,24,417,produksi/operasional,cikarang
2000-07-30,P,2022-01-10,INDIHIANG,SMA / LAINNYA,IPS,2019.0,,Rp 5.000.001 - Rp 10.000.000,OPERATOR,DI DALAM NEGERI,KARAWANG,21,418,produksi/operasional,karawang
2000-03-01,L,2022-01-10,CIBEUREUM,SMK,TEKNIK SEPEDA MOTOR3,2018.0,BADMINTON,Rp 2.500.001 - Rp 5.000.000,OPRATOR,DI DALAM NEGERI,KAB.BEKASI,21,419,produksi/operasional,lokasi tidak spesifik
2001-11-02,L,2022-01-10,CIHIDEUNG,SMK,PEMASARAN,2021.0,OLAHRAGAPEMASARAN,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGSERANG BANTENCIKARANG KARAWANG BEKASI,20,420,pekerja umum,bandung
2001-11-02,L,2022-01-10,CIHIDEUNG,SMK,PEMASARAN,2021.0,OLAHRAGAPEMASARAN,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGSERANG BANTENCIKARANG KARAWANG BEKASI,20,420,pekerja umum,banten
2001-11-02,L,2022-01-10,CIHIDEUNG,SMK,PEMASARAN,2021.0,OLAHRAGAPEMASARAN,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGSERANG BANTENCIKARANG KARAWANG BEKASI,20,420,pekerja umum,bekasi
2001-11-02,L,2022-01-10,CIHIDEUNG,SMK,PEMASARAN,2021.0,OLAHRAGAPEMASARAN,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGSERANG BANTENCIKARANG KARAWANG BEKASI,20,420,pekerja umum,cikarang
2001-11-02,L,2022-01-10,CIHIDEUNG,SMK,PEMASARAN,2021.0,OLAHRAGAPEMASARAN,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGSERANG BANTENCIKARANG KARAWANG BEKASI,20,420,pekerja umum,karawang
2001-11-02,L,2022-01-10,CIHIDEUNG,SMK,PEMASARAN,2021.0,OLAHRAGAPEMASARAN,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGSERANG BANTENCIKARANG KARAWANG BEKASI,20,420,pekerja umum,serang
2001-11-02,L,2022-01-10,CIHIDEUNG,SMK,PEMASARAN,2021.0,OLAHRAGAPEMASARAN,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNGSERANG BANTENCIKARANG KARAWANG BEKASI,20,420,pekerja umum,tasikmalaya
2002-08-19,L,2022-01-10,KAWALU,SMA / LAINNYA,IPS,2021.0,OLAHRAGASENI MUSIK,Rp 1.000.001 - Rp 2.500.000,INGIN BEKERJA,DI DALAM NEGERI,TASIKMALAYA,19,421,lain-lain,tasikmalaya
1996-09-05,L,2022-01-10,INDIHIANG,SMK,MULTIMEDIA,2015.0,OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,MANAGEMENT,DI DALAM NEGERI,KARAWANG CIKARANG,25,422,manajemen/direksi,cikarang
1996-09-05,L,2022-01-10,INDIHIANG,SMK,MULTIMEDIA,2015.0,OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,MANAGEMENT,DI DALAM NEGERI,KARAWANG CIKARANG,25,422,manajemen/direksi,karawang
1996-03-26,P,2022-01-10,INDIHIANG,S1,ILMU ADMINISTRASI NEGARA,2020.0,KOMPUTER,Rp 2.500.001 - Rp 5.000.000,ADMINISTRASI,DI DALAM NEGERI,TASIKMALAYA,25,423,administrasi/staf umum,tasikmalaya
1996-12-20,P,2022-01-11,TAMANSARI,S1,ILMU ADMINISTRASI NIAGA ,2020.0,MICROSOFT WORD MICROSOFT EXCEL MICROSOFT POWER POINT EDITING ADMINISTRATIF,Rp 2.500.001 - Rp 5.000.000,ADMINISTRATOR,DI DALAM NEGERI,TASIKMALAYA,25,424,administrasi/staf umum,tasikmalaya
1999-03-15,L,2022-01-11,CIPEDES,SMK,PERHOTELAN,2017.0,OLAHRAGA FUTSAL,Rp 2.500.001 - Rp 5.000.000,,DI DALAM NEGERI,,22,425,,lokasi tidak spesifik
1997-01-12,L,2022-01-11,CIPEDES,S1,ADMINISTRASI NEGARA,2021.0,PUBLIK SPEAKING,Rp 2.500.001 - Rp 5.000.000,ADMINISTRASI,DI DALAM NEGERI,TASIKMALAYA,24,426,administrasi/staf umum,tasikmalaya
2002-02-24,L,2022-01-11,KAWALU,SMK,TEKNIK DAN BISNIS SEPEDA MOTOR,2021.0,ENGINE,Rp 2.500.001 - Rp 5.000.000,OPERATOR,DI DALAM NEGERI,TANGERANG,19,427,produksi/operasional,tangerang
2001-10-09,L,2022-01-11,INDIHIANG,SMK,TEKNIK KENDARAAN RINGAN OTOMOTIF,2020.0,OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,KARYAWAN,DI DALAM NEGERI,KARAWANG,20,428,pekerja umum,karawang
1997-07-10,P,2022-01-11,CIBEUREUM,S1,ADMINISTRASI NEGARA,2020.0,MEMBACA,Rp 2.500.001 - Rp 5.000.000,PNS,DI DALAM NEGERI,TASIKMALAYA,24,429,pelayanan publik/pemerintahan,tasikmalaya
2003-03-10,P,2022-01-11,BUNGURSARI,SMA / LAINNYA,MIPA,2021.0,OALAHRAGA,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,PURWAKARTA,18,430,produksi/operasional,purwakarta
1992-08-27,P,2022-01-11,TAWANG,S1,PGSD,2021.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,STAP ADMINISTRASI,DI DALAM NEGERI,TASIKMALAYA,29,431,administrasi/staf umum,tasikmalaya
2001-12-19,L,2022-08-10,CIHIDEUNG,SMK,MULTIMEDIA ,2021.0,SEPAKBOLA,0 - Rp 1.000.000,LAINNYA,DI DALAM NEGERI,TASIKMALAYA,20,432,lain-lain,tasikmalaya
1982-06-18,P,2022-01-11,MANGKUBUMI,SMA / LAINNYA,IPS,2001.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,PENGELOLA PERENCANAAN EVALUASI DAN PELAPORAN,DI DALAM NEGERI,KABUPATEN TASIKMALAYA,39,433,lain-lain,kab. tasikmalaya
2003-04-14,L,2022-01-11,CIHIDEUNG,SMK,TSM,2021.0,TEKNIK MOTOR,Rp 2.500.001 - Rp 5.000.000,OPRATOR,DI DALAM NEGERI,JAKARTA,18,434,produksi/operasional,jakarta
2002-11-14,P,2022-01-12,KAWALU,SMK,KRIYA KREATIF BATIK DAN TEKSTIL,2021.0,MS OFFICE,Rp 1.000.001 - Rp 2.500.000,APA SAJA,DI DALAM NEGERI,JAWA BARAT,19,435,lain-lain,jawa barat
1997-09-29,L,2022-01-17,INDIHIANG,S1,TEKNIK INFORMATIKA,2020.0,PEMROGRAMAN WEB PUBLIC SPEAKING,Rp 2.500.001 - Rp 5.000.000,TENAGA AHLI IT,DI DALAM NEGERI,TASIKMALAYA,24,436,it/software,tasikmalaya
1996-11-26,L,2022-01-12,TAMANSARI,SMA / LAINNYA,IPS,2015.0,OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,OPRATOR,DI DALAM NEGERI,BEKASI,25,437,produksi/operasional,bekasi
2002-07-21,P,2022-01-12,BUNGURSARI,SMK,MARKETING,2021.0,MEMASAK,0 - Rp 1.000.000,CHEF,DI DALAM NEGERI,TASIKMALAYA,19,438,tata boga/kuliner,tasikmalaya
1987-11-30,L,2022-01-12,TAMANSARI,S1,FKIP BAHASA INGGRIS,2011.0,PUBLIC SPEAKING,Rp 1.000.001 - Rp 2.500.000,SALES TAKING ORDER,DI DALAM NEGERI,KOTA TASIKMALAYA KABUPATEN TASIKMALAYA,34,439,sales/marketing,kabupaten tasikmalaya
1987-11-30,L,2022-01-12,TAMANSARI,S1,FKIP BAHASA INGGRIS,2011.0,PUBLIC SPEAKING,Rp 1.000.001 - Rp 2.500.000,SALES TAKING ORDER,DI DALAM NEGERI,KOTA TASIKMALAYA KABUPATEN TASIKMALAYA,34,439,sales/marketing,tasikmalaya
1997-03-16,P,2022-01-12,CIPEDES,D.III,D III REKAM MEDIS DAN INFORMASI KESEHATAN,2019.0,MEMASAK,Rp 2.500.001 - Rp 5.000.000,STAF REKAM MEDIS ,DI DALAM NEGERI,TASIKMALAYA ATAU LUAR TASIKMALAYA,24,440,administrasi/staf umum,tasikmalaya
1999-07-14,L,2022-01-12,KAWALU,SMA / LAINNYA,IPS,2018.0,OLAHRAGA,> Rp 10.000.000,KARYAWAN,DI DALAM NEGERI,TAAIKMALAYA,22,441,pekerja umum,lokasi tidak spesifik
1998-06-08,P,2022-01-12,BUNGURSARI,S1,ADMINISTRASI NEGARA,2021.0,,0 - Rp 1.000.000,ADMINISTRATOR,DI DALAM NEGERI,TASIKMALAYA,23,442,administrasi/staf umum,tasikmalaya
1998-02-28,P,2022-01-12,TAMANSARI,S1,ILMU ADMINISTRASI NEGARA,2021.0,MICROSOFT OFFICE,Rp 2.500.001 - Rp 5.000.000,ANALIS KEBIJAKAN,DI DALAM NEGERI,BANDUNG,23,443,analis,bandung
2003-03-06,L,2022-01-12,PURBARATU,SMK,OTOMOTIF,2021.0,OTOMOTIF,Rp 2.500.001 - Rp 5.000.000,OPRATOR PRODUKSI,DI DALAM NEGERI,JAWABARAT,18,444,produksi/operasional,jawa
2001-06-02,P,2022-01-12,CIHIDEUNG,SMK,ANALIS KESEHATAN,2019.0,OLAHRAGA,Rp 1.000.001 - Rp 2.500.000,OPERATOR,DI DALAM NEGERI,TASIKMALAYA,20,445,produksi/operasional,tasikmalaya
1998-04-05,P,2022-01-12,CIHIDEUNG,S1,TEKNIK INFORMATIKA,2021.0,PUBLIK SPEAKING,Rp 2.500.001 - Rp 5.000.000,ADMINISTRASI,DI DALAM NEGERI,JAWA BARAT,23,446,administrasi/staf umum,jawa barat
1998-05-12,P,2022-01-12,CIPEDES,S1,TEKNIK INFORMATIKA,2020.0,OLAHARAGA,Rp 2.500.001 - Rp 5.000.000,ADMIN IT,DI DALAM NEGERI,TASIKMALAYA BANDUNG,23,447,administrasi/staf umum,bandung
1998-05-12,P,2022-01-12,CIPEDES,S1,TEKNIK INFORMATIKA,2020.0,OLAHARAGA,Rp 2.500.001 - Rp 5.000.000,ADMIN IT,DI DALAM NEGERI,TASIKMALAYA BANDUNG,23,447,administrasi/staf umum,tasikmalaya
