TGL_LAHIR,JENIS_KELAMIN,TANGGAL_DAFTAR,KECAMATAN,PENDIDIKAN,JURUSAN,TAHUN_LULUS,Keterampilan,UPAH_DIINGINKAN,JABATAN_DIINGINKAN,WILAYAH_DIINGINKAN,WILAYAH_DIINGINKAN_DETAIL,UMUR_SAAT_DAFTAR,original_index,JABATAN_DIINGINKAN_Normalized,wilayah_diinginkan_detail_normalized
2002-08-24,P,2021-11-04,KAWALU,SMK,FARMASI INDUSTRI,2021.0,MICROSOFT WORD,Rp 2.500.001 - Rp 5.000.000,STAFF QUALITY CONTROL STAFF QUALITY ASSURANCE DAN STAFF PRODUKSI,DI DALAM NEGERI,BANDUNG KARAWANG CIKARANG JAKARTA DAN TANGGERANG,19,18,quality control/assurance,bandung
2002-08-24,P,2021-11-04,KAWALU,SMK,FARMASI INDUSTRI,2021.0,MICROSOFT WORD,Rp 2.500.001 - Rp 5.000.000,STAFF QUALITY CONTROL STAFF QUALITY ASSURANCE DAN STAFF PRODUKSI,DI DALAM NEGERI,BANDUNG KARAWANG CIKARANG JAKARTA DAN TANGGERANG,19,18,quality control/assurance,cikarang
2002-08-24,P,2021-11-04,KAWALU,SMK,FARMASI INDUSTRI,2021.0,MICROSOFT WORD,Rp 2.500.001 - Rp 5.000.000,STAFF QUALITY CONTROL STAFF QUALITY ASSURANCE DAN STAFF PRODUKSI,DI DALAM NEGERI,BANDUNG KARAWANG CIKARANG JAKARTA DAN TANGGERANG,19,18,quality control/assurance,jakarta
2002-08-24,P,2021-11-04,KAWALU,SMK,FARMASI INDUSTRI,2021.0,MICROSOFT WORD,Rp 2.500.001 - Rp 5.000.000,STAFF QUALITY CONTROL STAFF QUALITY ASSURANCE DAN STAFF PRODUKSI,DI DALAM NEGERI,BANDUNG KARAWANG CIKARANG JAKARTA DAN TANGGERANG,19,18,quality control/assurance,karawang
2002-08-24,P,2021-11-04,KAWALU,SMK,FARMASI INDUSTRI,2021.0,MICROSOFT WORD,Rp 2.500.001 - Rp 5.000.000,STAFF QUALITY CONTROL STAFF QUALITY ASSURANCE DAN STAFF PRODUKSI,DI DALAM NEGERI,BANDUNG KARAWANG CIKARANG JAKARTA DAN TANGGERANG,19,18,quality control/assurance,tangerang
1998-07-28,P,2021-11-04,CIHIDEUNG,SMK,TKJ,2016.0,OLAHRAGA SENI BELA DIRI,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,CIKARANG,23,19,produksi/operasional,cikarang
1999-12-23,L,2021-11-04,INDIHIANG,D.III,KEPERAWATAN ,2021.0,BASKET,Rp 1.000.001 - Rp 2.500.000,PERAWAT PELAKSANA,DI DALAM NEGERI,TASIKMALAYA,21,20,perawat,tasikmalaya
1999-12-13,L,2021-11-04,CIBEUREUM,D.III,KEPERAWATAN,2021.0,KEPERAWATAN,Rp 2.500.001 - Rp 5.000.000,PERAWAT PELAKSANA,DI DALAM NEGERI,TANGERANG,21,21,perawat,tangerang
2000-10-27,L,2021-11-04,MANGKUBUMI,SMA / LAINNYA,IPA,2018.0,OLAH RAGA,0 - Rp 1.000.000,AKUTANSI,DI DALAM NEGERI,TASIKMALAYA,21,22,keuangan/akuntansi/perbankan,tasikmalaya
1996-12-16,L,2021-11-04,BUNGURSARI,SMK,TEKNIK KENDARAAN RINGAN,2015.0,MEMBACA ALAT UKUR  MICRO METER SIGMAT DLL  ,Rp 2.500.001 - Rp 5.000.000,OPERATOR,DI DALAM NEGERI,BEKASI,24,23,produksi/operasional,bekasi
2003-09-17,L,2021-11-04,TAMANSARI,SMK,ELEKTRONIKA,2021.0,OLAHRAGA BALAP MOTOR,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,BANDUNG,18,24,pekerja umum,bandung
2002-02-15,L,2021-11-05,INDIHIANG,SMK,TEKNIK KENDARAAN RINGAN OTOMOTIF,2021.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYA,19,25,pekerja umum,tasikmalaya
2002-04-02,L,2021-11-05,TAMANSARI,SMK,KRIYA KULIT DAN IMITASI,2021.0,OLAHRAGA ,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,JAWA BARAT ,19,26,produksi/operasional,jawa barat
1999-02-14,P,2021-11-05,MANGKUBUMI,SMK,AKUNTANSI,2017.0,PUBLIK SPEAKING OLAHRAGA MENDAKI MANJAT RIVER TUBING BERBAHASA INGGRIS,Rp 2.500.001 - Rp 5.000.000,AKUNTAN,DI DALAM NEGERI,JAWA BARAT,22,27,keuangan/akuntansi/perbankan,jawa barat
2000-08-04,P,2021-11-05,CIPEDES,SMA / LAINNYA,IPS,2018.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,AKUNTAN,DI DALAM NEGERI,TASIKMALAYA SUBANG,21,28,keuangan/akuntansi/perbankan,subang
2000-08-04,P,2021-11-05,CIPEDES,SMA / LAINNYA,IPS,2018.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,AKUNTAN,DI DALAM NEGERI,TASIKMALAYA SUBANG,21,28,keuangan/akuntansi/perbankan,tasikmalaya
1999-10-25,L,2021-11-05,TAWANG,SMK,TEKNIK SEPEDA MOTOR,2018.0,OLARAHRAGA,0 - Rp 1.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYA,22,29,pekerja umum,tasikmalaya
1999-01-15,P,2021-11-05,PURBARATU,SMK,TEKNIK KOMPUTER DAN JARINGAN ,2018.0,,Rp 1.000.001 - Rp 2.500.000,KASIR ,DI DALAM NEGERI,BANDUNG,22,30,keuangan/akuntansi/perbankan,bandung
2000-05-22,L,2021-11-05,TAMANSARI,SMK,OTOMOTIF,2019.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,KARYAWAN SWASTA,DI DALAM NEGERI,KOTA TASIKMALAYA,21,31,pekerja umum,lokasi tidak spesifik
2001-09-28,L,2021-11-08,PURBARATU,SMK,TEKNIK SEPEDA MOTOR,2021.0,OLAHRAGA FUTSAL,Rp 2.500.001 - Rp 5.000.000,OPRATOR,DI DALAM NEGERI,JAWA BARAT,20,32,produksi/operasional,jawa barat
2002-08-28,L,2021-11-05,TAMANSARI,SMK,TEKNIK KOMPUTER DAN JARINGAN,2021.0,PUBLIC SPEAKING,Rp 5.000.001 - Rp 10.000.000,PRODUKSI,DI DALAM NEGERI,MAJALENGKA,19,33,produksi/operasional,majalengka
2002-09-22,P,2021-11-05,MANGKUBUMI,SMA / LAINNYA,IPA,2021.0,,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,CIKARANG,19,34,produksi/operasional,cikarang
2000-12-30,P,2021-11-05,MANGKUBUMI,SMA / LAINNYA,IPA,2019.0,,Rp 2.500.001 - Rp 5.000.000,PRODUKSI,DI DALAM NEGERI,CIKARANG,20,35,produksi/operasional,cikarang
2002-10-26,P,2021-11-05,MANGKUBUMI,SMA / LAINNYA,MIPA,2021.0,BAHASA,Rp 1.000.001 - Rp 2.500.000,APA SAJA,DI DALAM NEGERI,TASIKMALAYA,19,36,lain-lain,tasikmalaya
2001-07-02,P,2021-11-05,INDIHIANG,SMA / LAINNYA,IPS,2019.0,,Rp 1.000.001 - Rp 2.500.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYA,20,37,pekerja umum,tasikmalaya
2000-05-22,P,2021-11-05,CIBEUREUM,SMA / LAINNYA,AUDIO VIDEO,2019.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,OPERATOR MESIN PRODUKSI,DI DALAM NEGERI,JAWABARAT,21,38,produksi/operasional,jawa
2001-12-13,L,2021-11-05,TAWANG,SMK,KRIYA KREATIF KULIT DAN IMITASI,2020.0,KRIYA,Rp 1.000.001 - Rp 2.500.000,APA SAJA,DI DALAM NEGERI,TASIKMALAYA,19,39,lain-lain,tasikmalaya
2003-08-11,L,2021-11-08,TAWANG,SMK,TEKNIK LISTRIK,2021.0,OLAHRAGA INSTALASI WORDEXCEL,Rp 5.000.001 - Rp 10.000.000,MANAGER LEADER OPERATOR PRODUCTION,DI DALAM NEGERI,TASIKMALAYA BEKASI CIKARANG,18,40,produksi/operasional,bekasi
2003-08-11,L,2021-11-08,TAWANG,SMK,TEKNIK LISTRIK,2021.0,OLAHRAGA INSTALASI WORDEXCEL,Rp 5.000.001 - Rp 10.000.000,MANAGER LEADER OPERATOR PRODUCTION,DI DALAM NEGERI,TASIKMALAYA BEKASI CIKARANG,18,40,produksi/operasional,cikarang
